a_id,user_id,arg_tuple_id,annotation_date,effectiveness_arg1,effectiveness_arg2,effectiveness_arg3,clarity_arg1,clarity_arg2,clarity_arg3,consistency_arg2,consistency_arg3,favorite
134,17,60,2024-02-13 20:52:21.239986+00:00,2,3,4,2,3,4,3,4,3
135,17,61,2024-02-13 20:56:17.667270+00:00,4,3,5,3,4,4,4,4,3
136,17,62,2024-02-13 20:57:34.226694+00:00,2,4,2,3,4,3,4,3,2
137,17,63,2024-02-13 21:00:17.605975+00:00,3,4,3,2,4,3,3,3,2
138,17,64,2024-02-13 21:01:10.536510+00:00,2,4,2,3,4,3,4,3,2
139,17,65,2024-02-13 21:04:05.660489+00:00,3,1,5,2,2,4,2,4,3
140,17,66,2024-02-13 21:05:52.275167+00:00,3,4,4,2,3,3,4,3,2
141,15,17,2024-02-13 21:06:24.491995+00:00,2,4,4,2,4,4,4,4,2
142,17,67,2024-02-13 21:06:56.697723+00:00,3,4,4,2,4,3,3,3,2
143,15,18,2024-02-13 21:07:39.923504+00:00,1,3,4,1,3,2,1,4,2
144,17,68,2024-02-13 21:09:11.330738+00:00,3,4,2,2,4,3,4,3,2
145,15,19,2024-02-13 21:10:05.430653+00:00,3,4,4,3,4,4,3,4,3
146,17,69,2024-02-13 21:10:26.315440+00:00,2,3,4,2,3,4,3,3,3
147,15,20,2024-02-13 21:11:43.127447+00:00,4,1,3,3,3,3,1,2,3
148,15,21,2024-02-13 21:12:23.099559+00:00,3,4,3,3,3,3,3,3,2
149,17,70,2024-02-13 21:12:59.418772+00:00,4,4,3,3,4,4,4,4,2
150,17,71,2024-02-13 21:15:02.264145+00:00,4,3,4,4,3,3,3,4,1
151,17,72,2024-02-13 21:19:26.756824+00:00,1,4,2,2,4,3,4,3,2
152,17,73,2024-02-13 21:20:32.821693+00:00,3,4,3,3,4,4,4,4,2
153,17,74,2024-02-13 21:21:38.610380+00:00,2,4,4,2,4,3,4,3,2
154,17,75,2024-02-13 21:24:00.907153+00:00,2,3,4,3,3,4,3,3,3
155,17,76,2024-02-13 21:26:26.722043+00:00,2,3,5,3,4,4,4,4,3
156,17,77,2024-02-13 21:27:22.784282+00:00,2,4,1,1,4,2,3,2,2
157,17,78,2024-02-13 21:30:15.074520+00:00,2,4,4,2,4,4,3,5,3
158,17,79,2024-02-13 21:30:57.807714+00:00,1,2,3,2,3,3,2,3,3
159,17,80,2024-02-13 21:32:49.248166+00:00,1,2,1,1,3,2,3,2,2
160,17,81,2024-02-13 21:33:53.033644+00:00,2,1,5,3,2,5,3,4,3
161,15,22,2024-02-13 21:35:31.477757+00:00,1,2,3,1,2,3,2,4,3
162,17,82,2024-02-13 21:36:09.876275+00:00,3,4,3,2,4,2,3,3,2
163,15,23,2024-02-13 21:36:26.114164+00:00,2,4,4,2,4,3,2,5,3
164,17,83,2024-02-13 21:37:22.326766+00:00,1,4,2,1,4,3,4,3,2
165,15,24,2024-02-13 21:37:31.492687+00:00,3,4,4,2,4,4,3,4,3
166,17,84,2024-02-13 21:38:50.449835+00:00,4,5,4,4,4,4,4,3,2
167,17,85,2024-02-13 21:40:47.065381+00:00,2,4,4,3,4,4,4,4,3
168,17,86,2024-02-13 21:41:26.380526+00:00,1,5,4,3,5,4,4,3,2
169,17,87,2024-02-13 21:43:28.892722+00:00,2,4,4,2,4,3,3,4,3
170,17,88,2024-02-13 21:44:16.481703+00:00,1,3,5,2,3,4,3,4,3
171,17,89,2024-02-13 21:46:01.142499+00:00,4,3,4,4,4,4,3,4,3
172,17,90,2024-02-13 21:47:45.808907+00:00,2,3,4,3,2,4,3,4,3
173,17,91,2024-02-13 21:48:45.896606+00:00,3,4,2,4,3,3,4,2,2
174,17,92,2024-02-13 21:49:33.394765+00:00,1,4,2,1,4,2,4,2,2
175,17,93,2024-02-13 21:50:39.315372+00:00,2,4,3,2,4,3,4,4,2
176,17,94,2024-02-13 21:51:46.509851+00:00,2,4,3,2,3,4,3,4,2
177,17,95,2024-02-13 21:52:16.501792+00:00,1,2,4,1,2,4,3,4,3
178,17,96,2024-02-13 21:53:21.313307+00:00,3,3,4,3,3,4,4,3,3
179,17,97,2024-02-13 21:54:39.883981+00:00,3,4,3,3,4,2,4,2,2
180,17,98,2024-02-13 21:55:09.216945+00:00,1,3,4,1,3,3,3,3,3
181,17,99,2024-02-13 21:56:06.945443+00:00,3,3,4,3,3,4,3,3,3
182,16,45,2024-02-13 22:17:39.675528+00:00,1,3,2,1,3,2,1,3,2
183,16,46,2024-02-13 22:27:14.624703+00:00,3,3,4,3,4,4,4,4,3
184,16,47,2024-02-13 22:29:39.034639+00:00,2,4,3,2,4,3,1,4,2
185,16,48,2024-02-13 22:33:18.342683+00:00,2,2,4,2,2,4,2,2,3
186,16,49,2024-02-13 22:35:05.074376+00:00,1,5,4,1,5,4,3,3,2
187,15,25,2024-02-13 22:35:28.134943+00:00,2,3,3,3,3,4,3,3,1
188,15,26,2024-02-13 23:07:40.810521+00:00,3,4,3,3,3,3,2,2,2
189,15,27,2024-02-13 23:08:45.826531+00:00,2,3,4,2,3,4,3,3,3
190,15,28,2024-02-13 23:09:57.898742+00:00,3,3,3,2,3,3,3,4,2
191,15,29,2024-02-13 23:12:11.260450+00:00,4,4,4,4,4,4,4,4,3
192,15,30,2024-02-13 23:13:35.888588+00:00,3,2,3,3,2,3,3,3,3
193,15,31,2024-02-13 23:16:47.628395+00:00,3,4,2,3,4,3,4,4,2
194,15,32,2024-02-14 12:32:44.120144+00:00,3,4,4,3,3,4,4,4,3
195,15,33,2024-02-14 12:41:26.205516+00:00,3,3,4,4,4,4,4,4,3
196,15,34,2024-02-14 12:43:08.303655+00:00,4,4,4,4,4,4,4,5,3
197,15,35,2024-02-14 12:44:03.178352+00:00,2,3,4,2,4,4,4,4,2
198,15,36,2024-02-14 12:45:07.358132+00:00,2,4,3,2,4,4,2,4,2
199,15,37,2024-02-14 12:47:01.471504+00:00,2,3,4,2,3,3,3,4,3
200,15,38,2024-02-14 12:48:24.814609+00:00,4,4,4,4,4,4,4,4,3
201,15,39,2024-02-14 12:49:48.544906+00:00,3,4,3,2,4,3,3,4,2
202,15,40,2024-02-14 12:52:23.083147+00:00,4,4,4,4,4,3,4,4,1
203,15,41,2024-02-14 12:53:55.413262+00:00,4,3,4,4,4,4,4,4,3
204,15,42,2024-02-14 12:55:02.725739+00:00,3,4,4,4,4,4,4,4,3
205,15,43,2024-02-14 12:56:38.481820+00:00,3,4,4,3,4,4,4,5,3
206,15,44,2024-02-14 12:58:29.354827+00:00,3,3,4,3,4,3,3,4,3
207,15,45,2024-02-14 13:00:58.426192+00:00,2,4,3,2,4,4,3,4,2
208,15,46,2024-02-14 13:02:13.280363+00:00,3,3,4,3,3,4,3,3,3
209,15,47,2024-02-14 13:04:27.330131+00:00,2,3,4,2,3,4,4,4,2
210,15,48,2024-02-14 13:06:47.882838+00:00,4,3,4,4,3,4,3,4,3
211,15,49,2024-02-14 13:07:52.903049+00:00,2,3,4,2,4,4,4,4,2
212,13,50,2024-02-14 21:04:47.864982+00:00,1,3,4,1,3,4,3,4,3
213,13,51,2024-02-14 21:07:55.865531+00:00,2,4,4,2,4,4,4,4,3
214,13,52,2024-02-14 21:09:13.980299+00:00,1,5,1,1,5,1,5,1,2
215,13,53,2024-02-14 21:13:18.733146+00:00,2,4,3,2,4,3,4,3,2
216,13,54,2024-02-14 21:15:45.918451+00:00,2,4,4,2,4,4,4,4,3
217,13,55,2024-02-14 21:16:45.125167+00:00,1,4,2,1,4,2,4,2,2
218,13,56,2024-02-14 21:19:10.947118+00:00,3,4,4,3,4,4,4,4,2
219,13,57,2024-02-14 21:22:32.837796+00:00,3,4,5,3,4,5,4,5,3
220,13,58,2024-02-14 21:23:24.544628+00:00,1,3,3,1,3,3,3,3,2
221,13,59,2024-02-14 21:24:27.521882+00:00,1,4,4,1,4,4,4,4,3
222,13,60,2024-02-14 21:27:17.956091+00:00,2,4,4,2,4,4,4,4,2
223,13,61,2024-02-14 21:29:10.323402+00:00,2,4,2,2,4,2,4,2,2
224,13,62,2024-02-14 21:41:08.676094+00:00,2,4,4,2,4,4,4,4,2
225,13,63,2024-02-14 21:44:51.610185+00:00,2,3,4,2,3,4,3,4,3
226,13,64,2024-02-14 21:46:00.902961+00:00,2,3,3,2,3,3,3,3,3
227,13,65,2024-02-14 21:51:14.246455+00:00,2,3,3,2,3,3,3,3,2
228,13,66,2024-02-14 21:53:06.066022+00:00,3,4,4,3,4,4,4,4,3
229,13,67,2024-02-14 21:54:33.088801+00:00,4,4,4,4,4,4,4,4,1
230,13,68,2024-02-14 21:57:24.627043+00:00,2,4,3,2,4,3,4,3,2
231,13,69,2024-02-14 21:59:13.794458+00:00,2,4,5,2,4,5,4,5,3
232,13,70,2024-02-14 22:01:26.708198+00:00,2,4,3,2,4,3,4,3,2
233,13,71,2024-02-14 22:03:08.626140+00:00,3,3,4,3,3,4,3,4,3
234,13,72,2024-02-14 22:05:30.990439+00:00,2,4,2,2,4,2,4,2,2
235,13,73,2024-02-14 22:06:53.886056+00:00,3,4,4,3,4,4,4,4,2
236,13,74,2024-02-14 22:08:42.310230+00:00,2,4,5,2,4,5,4,5,3
237,13,75,2024-02-14 22:12:15.577603+00:00,2,4,3,2,4,3,4,3,2
238,13,76,2024-02-15 01:15:58.320545+00:00,2,4,3,2,4,3,4,3,2
239,13,77,2024-02-15 01:16:38.963365+00:00,1,5,2,1,5,2,5,2,2
240,13,78,2024-02-15 01:20:14.552052+00:00,3,4,3,3,4,3,4,3,2
241,13,79,2024-02-15 01:21:21.715020+00:00,2,4,4,1,4,4,4,4,3
242,13,80,2024-02-15 01:24:23.343321+00:00,2,2,2,2,2,2,2,2,3
243,13,81,2024-02-15 01:25:53.453554+00:00,1,4,4,1,4,4,4,4,3
244,13,82,2024-02-15 01:27:31.423362+00:00,2,3,4,2,3,4,3,4,3
245,13,83,2024-02-15 01:29:16.610386+00:00,2,4,3,2,4,3,4,3,2
246,13,84,2024-02-15 01:31:26.813341+00:00,3,4,4,3,4,4,4,4,3
247,13,85,2024-02-15 01:32:34.335364+00:00,2,4,2,2,4,2,4,2,2
248,13,86,2024-02-15 01:33:13.897676+00:00,1,3,3,1,3,3,3,3,2
249,13,87,2024-02-15 01:34:42.700559+00:00,2,4,3,2,4,3,4,3,2
250,13,88,2024-02-15 01:36:54.782435+00:00,1,4,4,1,4,4,4,4,2
251,13,89,2024-02-15 01:38:17.268102+00:00,3,3,5,3,3,5,3,5,3
